########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	1676
file                           	TBC-02_D_BOA_-06.0A_180911_090629.dat
date                           	11/09/2018
hour                           	09:06:29
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	2
temperature(C)                 	23.81
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	-6.000050e+00
main_coil_current_std(A)       	+2.236068e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_10-09-2018_r=13mm_TBC
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	247697
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -1.154369e-03   	  +6.264560e-08   	  -3.276422e-06   	  +5.180745e-08   	  +1.154373e-03   	  +6.264552e-08   	  +0.000000e+00   	  +0.000000e+00   	  +1.000000e+00   	  +7.674694e-05   	  +2.838279e-03   	  +4.487974e-05   
2   	  -7.081320e-04   	  +3.225996e-06   	  -1.691459e-04   	  +3.756098e-06   	  +7.280531e-04   	  +3.256812e-06   	  +0.000000e+00   	  +0.000000e+00   	  +7.361240e-03   	  +3.353756e-05   	  +1.758321e-03   	  +3.904586e-05   
3   	  +1.459283e+00   	  +1.753588e-04   	  -1.431002e-02   	  +1.691942e-04   	  +1.459353e+00   	  +1.753582e-04   	  +0.000000e+00   	  +0.000000e+00   	  -1.820360e-01   	  +2.400209e-05   	  +1.785082e-03   	  +2.110610e-05   
4   	  -2.222956e-01   	  +8.729333e-03   	  -3.177962e-02   	  +1.217256e-02   	  +2.245558e-01   	  +8.811510e-03   	  +0.000000e+00   	  +0.000000e+00   	  +3.327591e-04   	  +1.306715e-05   	  +4.757146e-05   	  +1.822138e-05   
5   	  +2.016984e+02   	  +5.779607e-01   	  -5.069440e+00   	  +5.402282e-01   	  +2.017621e+02   	  +5.779377e-01   	  +0.000000e+00   	  +0.000000e+00   	  -3.623121e-03   	  +1.038381e-05   	  +9.106250e-05   	  +9.704156e-06   
6   	  -1.219035e+03   	  +4.857867e+01   	  -2.166956e+02   	  +3.988714e+01   	  +1.238145e+03   	  +4.833565e+01   	  +2.932039e-02   	  +5.408803e-03   	  +2.627713e-04   	  +1.047147e-05   	  +4.671018e-05   	  +8.597946e-06   
7   	  +8.023987e+05   	  +3.514355e+03   	  -2.224938e+04   	  +3.342056e+03   	  +8.027071e+05   	  +3.514226e+03   	  +0.000000e+00   	  +0.000000e+00   	  -2.075550e-03   	  +9.091215e-06   	  +5.755195e-05   	  +8.644836e-06   
8   	  +1.954006e+05   	  +2.702713e+05   	  +3.340638e+05   	  +2.917932e+05   	  +3.870142e+05   	  +2.864605e+05   	  +0.000000e+00   	  +0.000000e+00   	  -6.065176e-06   	  +8.389270e-06   	  -1.036958e-05   	  +9.057314e-06   
9   	  +7.449946e+07   	  +2.304871e+07   	  -4.195369e+06   	  +2.690531e+07   	  +7.461750e+07   	  +2.306191e+07   	  +0.000000e+00   	  +0.000000e+00   	  -2.774981e-05   	  +8.585232e-06   	  +1.562379e-06   	  +1.002175e-05   
10  	  -3.043220e+09   	  +1.643350e+09   	  -4.745794e+09   	  +1.420203e+09   	  +5.637708e+09   	  +1.488681e+09   	  +0.000000e+00   	  +0.000000e+00   	  +1.360265e-05   	  +7.345422e-06   	  +2.121262e-05   	  +6.348001e-06   
11  	  +1.229374e+12   	  +1.329498e+11   	  -5.024295e+10   	  +9.172692e+10   	  +1.230401e+12   	  +1.328917e+11   	  +0.000000e+00   	  +0.000000e+00   	  -6.594046e-05   	  +7.131085e-06   	  +2.694831e-06   	  +4.919996e-06   
12  	  +4.333351e+12   	  +9.086402e+12   	  +3.206272e+13   	  +1.363570e+13   	  +3.235422e+13   	  +1.356754e+13   	  +0.000000e+00   	  +0.000000e+00   	  -2.789135e-06   	  +5.848455e-06   	  -2.063731e-05   	  +8.776609e-06   
13  	  -1.537087e+15   	  +8.771164e+14   	  -1.561833e+14   	  +8.578358e+14   	  +1.545002e+15   	  +8.769215e+14   	  +0.000000e+00   	  +0.000000e+00   	  +1.187203e-05   	  +6.774663e-06   	  +1.206195e-06   	  +6.625743e-06   
14  	  -5.016646e+16   	  +7.854951e+16   	  -1.132841e+17   	  +7.219432e+16   	  +1.238949e+17   	  +7.327406e+16   	  +0.000000e+00   	  +0.000000e+00   	  +4.649644e-06   	  +7.280399e-06   	  +1.049955e-05   	  +6.691365e-06   
15  	  -8.441895e+18   	  +1.452285e+19   	  -2.351796e+18   	  +1.169911e+19   	  +8.763363e+18   	  +1.433808e+19   	  +0.000000e+00   	  +0.000000e+00   	  +9.389072e-06   	  +1.615269e-05   	  +2.615557e-06   	  +1.301206e-05   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.564199803601e-07	2.558461460467e-07	2.591042971289e-07	2.592754242414e-07	2.496529987184e-07	2.519878705698e-07	2.44126653115e-07	2.519022359593e-07	2.557534912739e-07	2.57863518982e-07
3.79584946586e-07	3.77319082645e-07	3.722930159711e-07	3.759640492262e-07	3.832981008145e-07	3.849282279589e-07	3.913392561117e-07	3.83059386877e-07	3.811151145783e-07	3.765532881062e-07
5.156308588994e-07	5.134223215464e-07	5.198627945902e-07	5.143369321559e-07	5.131887519383e-07	5.066003723186e-07	5.02492355281e-07	5.104373599352e-07	5.116569923302e-07	5.181815367905e-07
6.631478299823e-07	6.60284172227e-07	6.548147553076e-07	6.602961661883e-07	6.631929068135e-07	6.712637059536e-07	6.743272251697e-07	6.695656793454e-07	6.653367563558e-07	6.562744943039e-07
8.294459235003e-07	8.363695656044e-07	8.348663413926e-07	8.339967507709e-07	8.288165531667e-07	8.200996717278e-07	8.211368367483e-07	8.233440098593e-07	8.304722314278e-07	8.363659276256e-07
1.02859951312e-06	1.013167548081e-06	1.020132117446e-06	1.018495026983e-06	1.027417624755e-06	1.035875811795e-06	1.032803766066e-06	1.031782062455e-06	1.019656906465e-06	1.021148932523e-06
1.241197992385e-06	1.249312845175e-06	1.245986368303e-06	1.244457280336e-06	1.234004912476e-06	1.234831188412e-06	1.233601665263e-06	1.234109049619e-06	1.246927809007e-06	1.246718511538e-06
1.49004006289e-06	1.487383883614e-06	1.487808503953e-06	1.489738906457e-06	1.50148434841e-06	1.502102008999e-06	1.500819166722e-06	1.494536377322e-06	1.488285988671e-06	1.490972863394e-06
1.771051415744e-06	1.771029133124e-06	1.771811412254e-06	1.767905246197e-06	1.761370185704e-06	1.762052761478e-06	1.758209123182e-06	1.768271999936e-06	1.768367496879e-06	1.769211166902e-06
2.070359869322e-06	2.067847617582e-06	2.065461558232e-06	2.073893483612e-06	2.075348675135e-06	2.080389549519e-06	2.078216311929e-06	2.073821860904e-06	2.07238576877e-06	2.067817604257e-06
2.410881279502e-06	2.412511548755e-06	2.413459014861e-06	2.406483645245e-06	2.405536633887e-06	2.400727453278e-06	2.400469156782e-06	2.405573468423e-06	2.407877673249e-06	2.413860329398e-06
2.767469140963e-06	2.760506504274e-06	2.762860276562e-06	2.769672391878e-06	2.769949560388e-06	2.777650479402e-06	2.772387915684e-06	2.773630967567e-06	2.767320211206e-06	2.761298674159e-06
3.147875077048e-06	3.157549599564e-06	3.154164915031e-06	3.148916448481e-06	3.145552000205e-06	3.13900159199e-06	3.141212800983e-06	3.142975856463e-06	3.153822945023e-06	3.15475995194e-06
3.549919028956e-06	3.53633913619e-06	3.544036644598e-06	3.547822416294e-06	3.553598162398e-06	3.55864631274e-06	3.553217311492e-06	3.55351721737e-06	3.54077474185e-06	3.545497520463e-06
3.96185032514e-06	3.967015800299e-06	3.964642928622e-06	3.960018602811e-06	3.949181973439e-06	3.951759481424e-06	3.949818619731e-06	3.954752628488e-06	3.966487838625e-06	3.963899416703e-06
4.373932370072e-06	4.376451215649e-06	4.374280706543e-06	4.382167844597e-06	4.390802587295e-06	4.390451067593e-06	4.386901764519e-06	4.379685378808e-06	4.378453922982e-06	4.378301582619e-06
4.832841113966e-06	4.829006229556e-06	4.829861609323e-06	4.820085905521e-06	4.818253728445e-06	4.818380602956e-06	4.817558874493e-06	4.828126293432e-06	4.827634711546e-06	4.829051249544e-06
5.247164608591e-06	5.244828116702e-06	5.244782641967e-06	5.255792075332e-06	5.258047167445e-06	5.258433247946e-06	5.252037226455e-06	5.251197308098e-06	5.24984943695e-06	5.245582087809e-06
5.688910732715e-06	5.687175871572e-06	5.687944394595e-06	5.682196842827e-06	5.679507921741e-06	5.677074568666e-06	5.681036782335e-06	5.683981726179e-06	5.686300937668e-06	5.690001216863e-06
6.112744358688e-06	6.107893568696e-06	6.114285952208e-06	6.119420959294e-06	6.121385013103e-06	6.123441835371e-06	6.117429165897e-06	6.117100383563e-06	6.112418304838e-06	6.112395112723e-06
6.516228495457e-06	6.517893780256e-06	6.512442269013e-06	6.510452294606e-06	6.505028522952e-06	6.505952569569e-06	6.506761110359e-06	6.51176651445e-06	6.516134817502e-06	6.516360372189e-06
6.894740181451e-06	6.890391432535e-06	6.89734451953e-06	6.899599156895e-06	6.909211151651e-06	6.904984729772e-06	6.904051588208e-06	6.898243100295e-06	6.892803867231e-06	6.895784281369e-06
7.276261840161e-06	7.271411959664e-06	7.26906091586e-06	7.265729891515e-06	7.257031938934e-06	7.262185135914e-06	7.259512585733e-06	7.269737579918e-06	7.272420134541e-06	7.273450592038e-06
7.592046586069e-06	7.59866043154e-06	7.600866865687e-06	7.606415692862e-06	7.611680757691e-06	7.608856776642e-06	7.609106432938e-06	7.599876880704e-06	7.602494861203e-06	7.598743195558e-06
7.914342859294e-06	7.90753892943e-06	7.909894520708e-06	7.898739568191e-06	7.899271622591e-06	7.899140655354e-06	7.901694516477e-06	7.911003194749e-06	7.90679405327e-06	7.909288797237e-06
8.161525329342e-06	8.161338882928e-06	8.168016393029e-06	8.176620212907e-06	8.173886271834e-06	8.176023584383e-06	8.165763574652e-06	8.167627129296e-06	8.165580766217e-06	8.163408892869e-06
8.375477591471e-06	8.378306119994e-06	8.367444024771e-06	8.367825103051e-06	8.368205271836e-06	8.364012501261e-06	8.373602213396e-06	8.374788194487e-06	8.374820936297e-06	8.373945092899e-06
8.516830348526e-06	8.509708095517e-06	8.525939847459e-06	8.524822987965e-06	8.526599231118e-06	8.523807991878e-06	8.517748938175e-06	8.519646144123e-06	8.512354725099e-06	8.519369657733e-06
8.65725451149e-06	8.657762919029e-06	8.651525604364e-06	8.650131348986e-06	8.646348760522e-06	8.649997653265e-06	8.65478614287e-06	8.655282726977e-06	8.660761523061e-06	8.654747034598e-06
8.680312930665e-06	8.677214282216e-06	8.685042303114e-06	8.688729394635e-06	8.694314601598e-06	8.687889931025e-06	8.685261491337e-06	8.681291546964e-06	8.678887752467e-06	8.684096428624e-06
8.694815733179e-06	8.688509296917e-06	8.688596608408e-06	8.683735359227e-06	8.678562153364e-06	8.682204679644e-06	8.684727617947e-06	8.694032658241e-06	8.692013580003e-06	8.689496098668e-06
8.632956451038e-06	8.637488463137e-06	8.638743565825e-06	8.647127287986e-06	8.64696357894e-06	8.64307548909e-06	8.63981040311e-06	8.632579010737e-06	8.638645340397e-06	8.637316568638e-06
