########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	1700
file                           	TBC-02_D_BOA_-08.0A_180911_092146.dat
date                           	11/09/2018
hour                           	09:21:46
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	2
temperature(C)                 	23.8
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	-8.000100e+00
main_coil_current_std(A)       	+3.077935e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_10-09-2018_r=13mm_TBC
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	247697
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  +4.950965e-06   	  +7.834187e-08   	  -1.567023e-03   	  +4.641699e-08   	  +1.567031e-03   	  +4.641742e-08   	  -3.159461e-03   	  +4.999366e-05   	  -3.159472e-03   	  +4.999416e-05   	  +1.000000e+00   	  +4.189059e-05   
2   	  -1.852514e-04   	  +2.439535e-06   	  +9.338067e-04   	  +2.604465e-06   	  +9.520047e-04   	  +2.598411e-06   	  +0.000000e+00   	  +0.000000e+00   	  +1.418624e-03   	  +1.868159e-05   	  -7.150934e-03   	  +1.994568e-05   
3   	  -2.557284e-02   	  +1.586387e-04   	  -1.973905e+00   	  +1.731636e-04   	  +1.974071e+00   	  +1.731613e-04   	  +0.000000e+00   	  +0.000000e+00   	  +2.349990e-03   	  +1.457810e-05   	  +1.813900e-01   	  +1.679532e-05   
4   	  +6.306570e-02   	  +9.288700e-03   	  -2.884468e-01   	  +1.623439e-02   	  +2.952606e-01   	  +1.598336e-02   	  +0.000000e+00   	  +0.000000e+00   	  -6.954444e-05   	  +1.024291e-05   	  +3.180783e-04   	  +1.790211e-05   
5   	  +6.988190e+00   	  +7.765523e-01   	  +2.782034e+02   	  +6.563014e-01   	  +2.782911e+02   	  +6.563842e-01   	  +0.000000e+00   	  +0.000000e+00   	  -9.247281e-05   	  +1.027591e-05   	  -3.681391e-03   	  +8.685346e-06   
6   	  -2.822132e+02   	  +4.508082e+01   	  +1.629850e+03   	  +4.323383e+01   	  +1.654103e+03   	  +4.328871e+01   	  +0.000000e+00   	  +0.000000e+00   	  +4.481345e-05   	  +7.158510e-06   	  -2.588084e-04   	  +6.865225e-06   
7   	  -3.326011e+04   	  +3.216501e+03   	  -1.099759e+06   	  +4.022945e+03   	  +1.100262e+06   	  +4.022282e+03   	  +0.000000e+00   	  +0.000000e+00   	  +6.337761e-05   	  +6.129086e-06   	  +2.095606e-03   	  +7.666028e-06   
8   	  +1.762107e+05   	  +2.072984e+05   	  -8.366260e+05   	  +2.570142e+05   	  +8.549814e+05   	  +2.550995e+05   	  +0.000000e+00   	  +0.000000e+00   	  -4.029252e-06   	  +4.740119e-06   	  +1.913045e-05   	  +5.876928e-06   
9   	  +2.223528e+07   	  +3.458446e+07   	  -5.360884e+07   	  +2.182383e+07   	  +5.803719e+07   	  +2.412330e+07   	  +0.000000e+00   	  +0.000000e+00   	  -6.101233e-06   	  +9.489767e-06   	  +1.470999e-05   	  +5.988326e-06   
10  	  -9.608815e+08   	  +2.169138e+09   	  +3.550608e+09   	  +1.249013e+09   	  +3.678330e+09   	  +1.332162e+09   	  +0.000000e+00   	  +0.000000e+00   	  +3.163907e-06   	  +7.142381e-06   	  -1.169111e-05   	  +4.112659e-06   
11  	  -8.754257e+10   	  +1.159240e+11   	  -1.753543e+12   	  +1.992725e+11   	  +1.755727e+12   	  +1.991086e+11   	  +0.000000e+00   	  +0.000000e+00   	  +3.459116e-06   	  +4.580472e-06   	  +6.928734e-05   	  +7.873801e-06   
12  	  +6.486331e+11   	  +1.127906e+13   	  -1.738921e+13   	  +8.771871e+12   	  +1.740130e+13   	  +8.775852e+12   	  +0.000000e+00   	  +0.000000e+00   	  -3.075552e-07   	  +5.347996e-06   	  +8.245120e-06   	  +4.159207e-06   
13  	  -3.797739e+14   	  +9.316414e+14   	  +2.840780e+14   	  +6.490687e+14   	  +4.742663e+14   	  +8.412492e+14   	  +0.000000e+00   	  +0.000000e+00   	  +2.160839e-06   	  +5.300884e-06   	  -1.616326e-06   	  +3.693093e-06   
14  	  -6.391509e+15   	  +6.438502e+16   	  -7.026237e+16   	  +8.298033e+16   	  +7.055247e+16   	  +8.284471e+16   	  +0.000000e+00   	  +0.000000e+00   	  +4.363766e-07   	  +4.396080e-06   	  +4.797458e-06   	  +5.665731e-06   
15  	  -1.127634e+18   	  +1.606063e+19   	  -1.454430e+19   	  +1.546472e+19   	  +1.458794e+19   	  +1.546834e+19   	  +0.000000e+00   	  +0.000000e+00   	  +9.237532e-07   	  +1.315905e-05   	  +1.191682e-05   	  +1.267080e-05   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.16818027891e-05	1.168573089672e-05	1.168774542748e-05	1.168590097222e-05	1.168378003058e-05	1.167144546343e-05	1.168034759758e-05	1.16787814477e-05	1.168217750092e-05	1.168958806375e-05
1.162373609986e-05	1.161038653663e-05	1.161606087408e-05	1.161589352705e-05	1.162009812106e-05	1.162940043287e-05	1.162532771559e-05	1.16260816867e-05	1.162131047749e-05	1.161818727269e-05
1.145434453065e-05	1.146434988186e-05	1.145947953773e-05	1.146102567873e-05	1.145134319813e-05	1.144874750025e-05	1.14508848128e-05	1.14501463031e-05	1.146111935668e-05	1.146328850155e-05
1.122405956266e-05	1.121983950725e-05	1.122223602579e-05	1.122179037338e-05	1.123395031755e-05	1.123400215874e-05	1.12326706585e-05	1.123117181123e-05	1.122491266869e-05	1.122600315284e-05
1.096442792914e-05	1.096660798794e-05	1.096772575693e-05	1.09614484245e-05	1.096062260331e-05	1.095624520531e-05	1.095670631912e-05	1.095908373827e-05	1.096180130844e-05	1.096574760595e-05
1.059328042174e-05	1.059020269167e-05	1.058559792e-05	1.059408532456e-05	1.059199894371e-05	1.059544047166e-05	1.060005433828e-05	1.059433361661e-05	1.060029535438e-05	1.058897578332e-05
1.019903447741e-05	1.020014133246e-05	1.020496256388e-05	1.019861792884e-05	1.019981664285e-05	1.019199044094e-05	1.019161754812e-05	1.01945724964e-05	1.01946579889e-05	1.02068988781e-05
9.76933279162e-06	9.760872671905e-06	9.758374289959e-06	9.764054993866e-06	9.767541087058e-06	9.774954378372e-06	9.772056728252e-06	9.77302534011e-06	9.768858944881e-06	9.758525266079e-06
9.243097338185e-06	9.254346878151e-06	9.251888513973e-06	9.24718551687e-06	9.245684850612e-06	9.233584023605e-06	9.240410690836e-06	9.239265637007e-06	9.245733053831e-06	9.251677511202e-06
8.721394806344e-06	8.708423592907e-06	8.714169780433e-06	8.71643624123e-06	8.722669917915e-06	8.729724868317e-06	8.726778105483e-06	8.725683983357e-06	8.717741366127e-06	8.720133337192e-06
8.171953595593e-06	8.17597265268e-06	8.174223694368e-06	8.171668014256e-06	8.157604497683e-06	8.161907317117e-06	8.163679922291e-06	8.165156032192e-06	8.173385140253e-06	8.17270938569e-06
7.594610451633e-06	7.598020602018e-06	7.595132046845e-06	7.599276614201e-06	7.613386515004e-06	7.610084594489e-06	7.610110515088e-06	7.600827302667e-06	7.601361176057e-06	7.603312042193e-06
7.027043466223e-06	7.018725682428e-06	7.021588317002e-06	7.01130284142e-06	7.00655300534e-06	7.007314707153e-06	7.004850431258e-06	7.017679763521e-06	7.015104074526e-06	7.018434644124e-06
6.420209047064e-06	6.426630534406e-06	6.420461886592e-06	6.432830105041e-06	6.437829142669e-06	6.433990165533e-06	6.43774137643e-06	6.429634595406e-06	6.431172550947e-06	6.426414529415e-06
5.845559826412e-06	5.837360276928e-06	5.841093297931e-06	5.833838713443e-06	5.831441285409e-06	5.829336259922e-06	5.828712346556e-06	5.835338924953e-06	5.834337571287e-06	5.844855422765e-06
5.246960881777e-06	5.247453373158e-06	5.247484295978e-06	5.251888069324e-06	5.254728876025e-06	5.261615569907e-06	5.254795723886e-06	5.256723397906e-06	5.251209131529e-06	5.249197783996e-06
4.698766588263e-06	4.701139459939e-06	4.699993041868e-06	4.699388227891e-06	4.689201432484e-06	4.684687155532e-06	4.693429673353e-06	4.690635250881e-06	4.700542831415e-06	4.700019871962e-06
4.138719759794e-06	4.133869879297e-06	4.141115823586e-06	4.137356427236e-06	4.150827408012e-06	4.151530447416e-06	4.145546427026e-06	4.145711955061e-06	4.134754362894e-06	4.143174010096e-06
3.634728727775e-06	3.634158474597e-06	3.62898504136e-06	3.63030335393e-06	3.614480874603e-06	3.619063818405e-06	3.623602879088e-06	3.623917336881e-06	3.634564109234e-06	3.629134425864e-06
3.135648739772e-06	3.138537749692e-06	3.140433591398e-06	3.14149406222e-06	3.154083515255e-06	3.150668135277e-06	3.147006509607e-06	3.142485866192e-06	3.14272142532e-06	3.143526328131e-06
2.694844170037e-06	2.692312136787e-06	2.689045231818e-06	2.681085561562e-06	2.678204509721e-06	2.676931444512e-06	2.682735384951e-06	2.688174390642e-06	2.688192580536e-06	2.690499059099e-06
2.261552026539e-06	2.260777137053e-06	2.26326756092e-06	2.271351377203e-06	2.274336338814e-06	2.275775159433e-06	2.268307753184e-06	2.266213414259e-06	2.266694082209e-06	2.265025159431e-06
1.899277094708e-06	1.89948195839e-06	1.892865498121e-06	1.886373979687e-06	1.886440600174e-06	1.883404593173e-06	1.891863121273e-06	1.89621221125e-06	1.894419938253e-06	1.899507310554e-06
1.552783373882e-06	1.546523549223e-06	1.558679400659e-06	1.560460987093e-06	1.560212353979e-06	1.563259274917e-06	1.557156679155e-06	1.557513314765e-06	1.553470610816e-06	1.554998561915e-06
1.265161017727e-06	1.268486926165e-06	1.256720565834e-06	1.259490545635e-06	1.254486164726e-06	1.254269704987e-06	1.262330670215e-06	1.258158476958e-06	1.266904291697e-06	1.265585524379e-06
9.960072020476e-07	9.950290404959e-07	1.003088868856e-06	1.001914597509e-06	1.007762875815e-06	1.00679778825e-06	1.00174418094e-06	1.001497480502e-06	9.958531563825e-07	1.003084094009e-06
7.84038945767e-07	7.807263955328e-07	7.776428674333e-07	7.729473736617e-07	7.685420655434e-07	7.703405344728e-07	7.723386374892e-07	7.780479904795e-07	7.806222015461e-07	7.796840577612e-07
5.696583116332e-07	5.747562568104e-07	5.784834797851e-07	5.854679443473e-07	5.877805620003e-07	5.855353606421e-07	5.82794143611e-07	5.732463819186e-07	5.814214318889e-07	5.802697842228e-07
4.111805083085e-07	4.058772162807e-07	4.052978681557e-07	3.928115006602e-07	4.000335138699e-07	3.94689152472e-07	3.991467565356e-07	4.083469207217e-07	4.038691940877e-07	4.065846042067e-07
2.342385414522e-07	2.350990655486e-07	2.387816380178e-07	2.481147305389e-07	2.462012105298e-07	2.481858984993e-07	2.379656933726e-07	2.372621423774e-07	2.393364297859e-07	2.388255211372e-07
8.530671635754e-08	8.286676234093e-08	7.744345964511e-08	7.20435338053e-08	7.445104444059e-08	7.26023827724e-08	8.141086027535e-08	7.994864148486e-08	8.383577920767e-08	8.046439603504e-08
