########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	1690
file                           	TBC-02_D_BOA_008.0A_180911_091757.dat
date                           	11/09/2018
hour                           	09:17:57
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	2
temperature(C)                 	23.8
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+7.999900e+00
main_coil_current_std(A)       	+1.020836e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_10-09-2018_r=13mm_TBC
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	247697
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  +2.963016e-07   	  +6.992469e-08   	  +1.561388e-03   	  +6.466087e-08   	  +1.561388e-03   	  +6.466087e-08   	  +1.897680e-04   	  +4.478367e-05   	  +1.897688e-04   	  +4.478367e-05   	  +1.000000e+00   	  +5.856601e-05   
2   	  +1.974741e-04   	  +4.798101e-06   	  -9.829071e-04   	  +4.731456e-06   	  +1.002548e-03   	  +4.734059e-06   	  +0.000000e+00   	  +0.000000e+00   	  +1.517682e-03   	  +3.687571e-05   	  -7.554102e-03   	  +3.636480e-05   
3   	  +2.439401e-02   	  +1.889064e-04   	  +1.973629e+00   	  +1.767949e-04   	  +1.973780e+00   	  +1.767968e-04   	  +0.000000e+00   	  +0.000000e+00   	  +2.249753e-03   	  +1.742226e-05   	  +1.820192e-01   	  +1.796310e-05   
4   	  -6.569286e-02   	  +1.059916e-02   	  +2.243818e-01   	  +1.185964e-02   	  +2.338006e-01   	  +1.176504e-02   	  +0.000000e+00   	  +0.000000e+00   	  -7.270251e-05   	  +1.173017e-05   	  +2.483249e-04   	  +1.312516e-05   
5   	  -6.655454e+00   	  +8.461141e-01   	  -2.782905e+02   	  +8.200899e-01   	  +2.783701e+02   	  +8.201050e-01   	  +0.000000e+00   	  +0.000000e+00   	  -8.838774e-05   	  +1.123681e-05   	  -3.695834e-03   	  +1.089227e-05   
6   	  +2.564346e+02   	  +6.983065e+01   	  -1.747634e+03   	  +4.383705e+01   	  +1.766347e+03   	  +4.454167e+01   	  +0.000000e+00   	  +0.000000e+00   	  +4.086703e-05   	  +1.112862e-05   	  -2.785132e-04   	  +6.986139e-06   
7   	  +3.179492e+04   	  +3.372051e+03   	  +1.098395e+06   	  +6.526627e+03   	  +1.098855e+06   	  +6.524624e+03   	  +0.000000e+00   	  +0.000000e+00   	  +6.080432e-05   	  +6.448678e-06   	  +2.100559e-03   	  +1.248176e-05   
8   	  -9.906446e+04   	  +2.512848e+05   	  +4.110327e+05   	  +2.849697e+05   	  +4.228022e+05   	  +2.832244e+05   	  +0.000000e+00   	  +0.000000e+00   	  -2.273473e-06   	  +5.766656e-06   	  +9.432648e-06   	  +6.539681e-06   
9   	  -1.556972e+07   	  +2.169954e+07   	  +5.593912e+07   	  +2.112976e+07   	  +5.806549e+07   	  +2.117124e+07   	  +0.000000e+00   	  +0.000000e+00   	  -4.287564e-06   	  +5.975712e-06   	  +1.540471e-05   	  +5.818803e-06   
10  	  +7.120071e+08   	  +9.996312e+08   	  -2.812295e+09   	  +1.724185e+09   	  +2.901027e+09   	  +1.689359e+09   	  +0.000000e+00   	  +0.000000e+00   	  +2.352895e-06   	  +3.303392e-06   	  -9.293455e-06   	  +5.697762e-06   
11  	  +1.695999e+10   	  +1.127545e+11   	  +1.794345e+12   	  +2.101050e+11   	  +1.794425e+12   	  +2.100983e+11   	  +0.000000e+00   	  +0.000000e+00   	  +6.726196e-07   	  +4.471316e-06   	  +7.115532e-05   	  +8.331783e-06   
12  	  +6.145744e+11   	  +1.050078e+13   	  -1.491243e+13   	  +1.560271e+13   	  +1.492509e+13   	  +1.559547e+13   	  +0.000000e+00   	  +0.000000e+00   	  +2.924384e-07   	  +4.996943e-06   	  -7.096156e-06   	  +7.424768e-06   
13  	  -4.673817e+14   	  +6.848695e+14   	  -1.538528e+14   	  +1.211597e+15   	  +4.920532e+14   	  +7.527991e+14   	  +0.000000e+00   	  +0.000000e+00   	  -2.668848e-06   	  +3.910857e-06   	  -8.786556e-07   	  +6.918663e-06   
14  	  -7.086542e+16   	  +5.194669e+16   	  -4.120180e+16   	  +8.793053e+16   	  +8.197253e+16   	  +6.300839e+16   	  +0.000000e+00   	  +0.000000e+00   	  -4.855985e-06   	  +3.559616e-06   	  -2.823339e-06   	  +6.025388e-06   
15  	  -3.224719e+18   	  +1.234005e+19   	  +9.513858e+18   	  +1.591802e+19   	  +1.004551e+19   	  +1.558732e+19   	  +0.000000e+00   	  +0.000000e+00   	  -2.651599e-06   	  +1.014714e-05   	  +7.823154e-06   	  +1.308927e-05   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
-1.136698938353e-05	-1.136740229413e-05	-1.134794820246e-05	-1.135663933383e-05	-1.135216098191e-05	-1.136243281508e-05	-1.136590344686e-05	-1.136380433309e-05	-1.136220271292e-05	-1.134807007475e-05
-1.129567408498e-05	-1.129943302658e-05	-1.130743021349e-05	-1.130873715738e-05	-1.130583950726e-05	-1.129485190177e-05	-1.129979955294e-05	-1.129528118327e-05	-1.130295731855e-05	-1.130831333285e-05
-1.115054692491e-05	-1.114263886848e-05	-1.113504367822e-05	-1.113622056437e-05	-1.114058613894e-05	-1.114452425099e-05	-1.114379483624e-05	-1.114715541917e-05	-1.113776397688e-05	-1.113575945055e-05
-1.09081820483e-05	-1.091182548407e-05	-1.091685589927e-05	-1.092230013455e-05	-1.091047488444e-05	-1.091072681447e-05	-1.090768637368e-05	-1.090910336643e-05	-1.091657395591e-05	-1.091633203032e-05
-1.06602183223e-05	-1.065706783265e-05	-1.065309061232e-05	-1.064818388841e-05	-1.065923424903e-05	-1.065325614036e-05	-1.066148979589e-05	-1.065834385372e-05	-1.065489232133e-05	-1.065340256901e-05
-1.027678808896e-05	-1.027661619446e-05	-1.028212591336e-05	-1.02885560409e-05	-1.027608414006e-05	-1.027877715387e-05	-1.027243888529e-05	-1.027917642205e-05	-1.027855068969e-05	-1.028583847074e-05
-9.901168596116e-06	-9.899320502882e-06	-9.889592547552e-06	-9.890791261569e-06	-9.897004019876e-06	-9.897665222525e-06	-9.904399121297e-06	-9.897899872158e-06	-9.896019037114e-06	-9.886063708109e-06
-9.454499377171e-06	-9.457721716899e-06	-9.466357369092e-06	-9.464494723943e-06	-9.460585715715e-06	-9.45546071307e-06	-9.450728612137e-06	-9.460413821216e-06	-9.460083674639e-06	-9.473051250097e-06
-8.954461009125e-06	-8.948334652814e-06	-8.940460247686e-06	-8.94485583558e-06	-8.943881766754e-06	-8.953673386713e-06	-8.950469236879e-06	-8.948143658927e-06	-8.946197340265e-06	-8.935531695897e-06
-8.418611287198e-06	-8.428630280832e-06	-8.426152817265e-06	-8.431306014245e-06	-8.425447958871e-06	-8.416817763646e-06	-8.419913683611e-06	-8.422831342614e-06	-8.431627975369e-06	-8.434049050265e-06
-7.87565477367e-06	-7.864026883908e-06	-7.86877808423e-06	-7.861731319281e-06	-7.874687071308e-06	-7.875439223426e-06	-7.874546099629e-06	-7.873279173509e-06	-7.860091500334e-06	-7.861435733503e-06
-7.311172794289e-06	-7.317204108404e-06	-7.312366506085e-06	-7.322661531362e-06	-7.305477538466e-06	-7.308850399568e-06	-7.308787189686e-06	-7.313075002457e-06	-7.321072644118e-06	-7.320355052798e-06
-6.725795628881e-06	-6.722200851073e-06	-6.722751550114e-06	-6.718689292029e-06	-6.72866599416e-06	-6.729353117407e-06	-6.729897449986e-06	-6.723882052029e-06	-6.717696123815e-06	-6.715087238263e-06
-6.143796326796e-06	-6.145651241241e-06	-6.149282853585e-06	-6.149968157843e-06	-6.142438905954e-06	-6.142082838778e-06	-6.139352990431e-06	-6.147638032417e-06	-6.149828550406e-06	-6.155350547488e-06
-5.564756520471e-06	-5.556246378546e-06	-5.55077667741e-06	-5.555033567362e-06	-5.557003078138e-06	-5.563211288973e-06	-5.560746103583e-06	-5.558029442909e-06	-5.551163212658e-06	-5.545176918531e-06
-4.960136266163e-06	-4.972733677278e-06	-4.973291652277e-06	-4.968564553565e-06	-4.967843324266e-06	-4.959679245076e-06	-4.964625532011e-06	-4.966098913428e-06	-4.973983322998e-06	-4.981972779206e-06
-4.430630269781e-06	-4.416168394528e-06	-4.415855073603e-06	-4.42181908511e-06	-4.422911842994e-06	-4.434348284121e-06	-4.42555437985e-06	-4.424913640833e-06	-4.41544352725e-06	-4.409744633449e-06
-3.85882503906e-06	-3.873035893776e-06	-3.865592589136e-06	-3.867385657941e-06	-3.859878688672e-06	-3.855445811496e-06	-3.858464424411e-06	-3.862115590891e-06	-3.873923105857e-06	-3.874631147482e-06
-3.363649284438e-06	-3.353771944603e-06	-3.354160298841e-06	-3.358426283739e-06	-3.367661747689e-06	-3.367192675796e-06	-3.364912799952e-06	-3.364342546774e-06	-3.350744464115e-06	-3.350258339196e-06
-2.873310904761e-06	-2.877157157855e-06	-2.878590748878e-06	-2.87640341412e-06	-2.864924454116e-06	-2.86820841211e-06	-2.868400997613e-06	-2.87714942715e-06	-2.880984766307e-06	-2.883032493628e-06
-2.415612698314e-06	-2.41675502366e-06	-2.411335572106e-06	-2.421022600174e-06	-2.42337932832e-06	-2.424932972644e-06	-2.425578259135e-06	-2.413759148112e-06	-2.411942205072e-06	-2.408375848972e-06
-2.009492391153e-06	-2.007650437008e-06	-2.0144195787e-06	-2.004252564802e-06	-2.00335853151e-06	-2.003609779422e-06	-2.004591351579e-06	-2.012937102336e-06	-2.011542619584e-06	-2.021396767304e-06
-1.62988089869e-06	-1.630032784306e-06	-1.624278979762e-06	-1.633277634028e-06	-1.631329610063e-06	-1.637679815758e-06	-1.631628606447e-06	-1.628367044759e-06	-1.627603523957e-06	-1.617398197595e-06
-1.298663050875e-06	-1.305390469497e-06	-1.306395347456e-06	-1.300717485719e-06	-1.298215465795e-06	-1.29589966491e-06	-1.29881959765e-06	-1.30142461785e-06	-1.304628540311e-06	-1.31109072754e-06
-1.00621105048e-06	-1.00016916349e-06	-1.000092197501e-06	-1.004457089948e-06	-1.008518097478e-06	-1.014742906591e-06	-1.009314473777e-06	-1.005319973046e-06	-9.992676268666e-07	-9.971067811421e-07
-7.513927471337e-07	-7.547040468125e-07	-7.530093739661e-07	-7.535999202446e-07	-7.41308895158e-07	-7.426960451085e-07	-7.441759066751e-07	-7.4917937809e-07	-7.575940230709e-07	-7.560167318843e-07
-5.206274522607e-07	-5.22441666817e-07	-5.228409349911e-07	-5.244954195405e-07	-5.357481995816e-07	-5.338879418559e-07	-5.325177312443e-07	-5.24365475485e-07	-5.168790835341e-07	-5.199065071793e-07
-3.365953773482e-07	-3.308441591798e-07	-3.326309752083e-07	-3.281892304585e-07	-3.186427761648e-07	-3.246062192375e-07	-3.239752288664e-07	-3.372219339326e-07	-3.32803551828e-07	-3.362344784819e-07
-1.499784048065e-07	-1.55709159344e-07	-1.555804090003e-07	-1.656492258917e-07	-1.656919010884e-07	-1.634090978087e-07	-1.643206104518e-07	-1.531259101739e-07	-1.516236523003e-07	-1.514648175771e-07
