########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	2942
file                           	TBC-04_D_BOA_004.0A_180926_121734.dat
date                           	26/09/2018
hour                           	12:17:34
operator                       	Lucas Balthazar
software_version               	v3.4
bench                          	2
temperature(C)                 	23.33
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+4.000000e+00
main_coil_current_std(A)       	+0.000000e+00
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_10-09-2018_r=13mm_TBC
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	247697
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -4.789268e-06   	  +5.465953e-08   	  +8.021563e-04   	  +7.108082e-08   	  +8.021706e-04   	  +7.108030e-08   	  -5.970421e-03   	  +6.814037e-05   	  -5.970489e-03   	  +6.814280e-05   	  +1.000000e+00   	  +1.253165e-04   
2   	  +2.013289e-04   	  +2.016236e-06   	  +1.196954e-04   	  +3.332470e-06   	  +2.342228e-04   	  +2.429768e-06   	  +5.172055e-01   	  +6.498387e-03   	  +3.011815e-03   	  +3.016342e-05   	  +1.790603e-03   	  +4.985293e-05   
3   	  +1.280732e-02   	  +3.008586e-04   	  +1.014246e+00   	  +1.377169e-04   	  +1.014327e+00   	  +1.377583e-04   	  +4.208918e-03   	  +9.886346e-05   	  +2.299120e-03   	  +5.400937e-05   	  +1.820736e-01   	  +2.952119e-05   
4   	  -1.324615e-01   	  +1.225438e-02   	  -6.074817e-03   	  +1.071172e-02   	  +1.326008e-01   	  +1.225135e-02   	  +3.812419e-01   	  +2.020198e-02   	  -2.853475e-04   	  +2.639833e-05   	  -1.308610e-05   	  +2.307512e-05   
5   	  -2.285330e+00   	  +1.041079e+00   	  -1.393836e+02   	  +5.645017e-01   	  +1.394023e+02   	  +5.646839e-01   	  +3.278902e-03   	  +1.493491e-03   	  -5.907688e-05   	  +2.691224e-05   	  -3.603110e-03   	  +1.459605e-05   
6   	  +3.574940e+02   	  +3.946687e+01   	  +4.201961e+02   	  +1.996403e+01   	  +5.516944e+02   	  +2.975315e+01   	  +1.174910e-01   	  +9.886303e-03   	  +1.108959e-04   	  +1.224278e-05   	  +1.303465e-04   	  +6.192929e-06   
7   	  +1.833741e+04   	  +4.386396e+03   	  +5.849605e+05   	  +4.143929e+03   	  +5.852479e+05   	  +4.144174e+03   	  +4.476835e-03   	  +1.070649e-03   	  +6.826062e-05   	  +1.632813e-05   	  +2.177484e-03   	  +1.542676e-05   
8   	  -8.847361e+04   	  +3.541623e+05   	  +1.321295e+06   	  +2.644218e+05   	  +1.324254e+06   	  +2.648899e+05   	  -8.357495e-03   	  +3.339733e-02   	  -3.952328e-06   	  +1.582020e-05   	  +5.902183e-05   	  +1.181155e-05   
9   	  -1.158416e+07   	  +9.727777e+06   	  -1.563638e+07   	  +1.535786e+07   	  +1.945994e+07   	  +1.363143e+07   	  +7.084634e-02   	  +6.867782e-02   	  -6.209392e-06   	  +5.214403e-06   	  -8.381691e-06   	  +8.232307e-06   
10  	  +5.697695e+08   	  +1.038489e+09   	  +7.844067e+09   	  +2.055033e+09   	  +7.864733e+09   	  +2.051013e+09   	  +7.250965e-03   	  +1.330503e-02   	  +3.664965e-06   	  +6.679961e-06   	  +5.045619e-05   	  +1.321877e-05   
11  	  +7.267329e+10   	  +8.847838e+10   	  -9.395092e+10   	  +9.058090e+10   	  +1.187779e+11   	  +8.979959e+10   	  -5.985339e-02   	  +6.832560e-02   	  +5.609603e-06   	  +6.829527e-06   	  -7.251882e-06   	  +6.991818e-06   
12  	  +1.322301e+12   	  +1.039994e+13   	  +6.125293e+13   	  +1.337969e+13   	  +6.126720e+13   	  +1.337846e+13   	  +1.798683e-03   	  +1.414777e-02   	  +1.224831e-06   	  +9.633089e-06   	  +5.673670e-05   	  +1.239313e-05   
13  	  +7.145538e+14   	  +7.500965e+14   	  -4.801916e+15   	  +7.460001e+14   	  +4.854790e+15   	  +7.460891e+14   	  -1.136323e-02   	  +1.188371e-02   	  +7.942523e-06   	  +8.337447e-06   	  -5.337396e-05   	  +8.291916e-06   
14  	  -1.819735e+16   	  +4.499019e+16   	  +5.936510e+16   	  +8.928440e+16   	  +6.209153e+16   	  +8.637625e+16   	  -2.124567e-02   	  +5.791961e-02   	  -2.426995e-06   	  +6.000881e-06   	  +7.918347e-06   	  +1.190893e-05   
15  	  -3.857614e+18   	  +1.247606e+19   	  +7.645074e+18   	  +9.393288e+18   	  +8.563196e+18   	  +1.009533e+19   	  -3.115409e-02   	  +9.276233e-02   	  -6.173820e-06   	  +1.996898e-05   	  +1.223692e-05   	  +1.503475e-05   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
-5.821221748192e-06	-5.820068963658e-06	-5.819692887599e-06	-5.823226729262e-06	-5.823885658174e-06	-5.822212187923e-06	-5.827822860738e-06	-5.824916570418e-06	-5.823207175126e-06	-5.823686478834e-06
-5.79377365284e-06	-5.792604952148e-06	-5.790478553536e-06	-5.789416263724e-06	-5.789142960566e-06	-5.793289346911e-06	-5.788998350909e-06	-5.792291631224e-06	-5.795537617814e-06	-5.793604032078e-06
-5.70676775169e-06	-5.709946435672e-06	-5.706674528483e-06	-5.710352979804e-06	-5.704430350306e-06	-5.704758677894e-06	-5.704713657906e-06	-5.702546332031e-06	-5.699746452592e-06	-5.702363068849e-06
-5.583558959188e-06	-5.580653578363e-06	-5.586642146227e-06	-5.585813141806e-06	-5.586612587649e-06	-5.590921773546e-06	-5.586142378888e-06	-5.587354735326e-06	-5.588221938524e-06	-5.58484953217e-06
-5.451331162476e-06	-5.448381671158e-06	-5.444648650155e-06	-5.446383056551e-06	-5.444000180432e-06	-5.440556833491e-06	-5.442370820674e-06	-5.445661827252e-06	-5.444642738439e-06	-5.448390766105e-06
-5.251270067674e-06	-5.252013579593e-06	-5.257641532808e-06	-5.255702490103e-06	-5.25618543179e-06	-5.255645191937e-06	-5.252296432445e-06	-5.250984031591e-06	-5.25119867234e-06	-5.24693814441e-06
-5.046888873039e-06	-5.050535037299e-06	-5.046733349445e-06	-5.049696028436e-06	-5.049786977906e-06	-5.05016396346e-06	-5.052333563071e-06	-5.052929282101e-06	-5.051458629168e-06	-5.054420853412e-06
-4.822735263588e-06	-4.824100415135e-06	-4.820081812795e-06	-4.821622042073e-06	-4.819570222026e-06	-4.81889310322e-06	-4.815555257665e-06	-4.816356522497e-06	-4.823622475669e-06	-4.816937234864e-06
-4.54362907476e-06	-4.546614945866e-06	-4.547126081889e-06	-4.549192453851e-06	-4.549533059617e-06	-4.548061497189e-06	-4.548678134597e-06	-4.54825021734e-06	-4.544229796011e-06	-4.546398486127e-06
-4.278292635718e-06	-4.276394065528e-06	-4.277344032744e-06	-4.276082563592e-06	-4.275822902855e-06	-4.280844223103e-06	-4.279598670109e-06	-4.280132088752e-06	-4.285603154131e-06	-4.280183475203e-06
-3.985755483882e-06	-3.988051048509e-06	-3.98390193368e-06	-3.988019216195e-06	-3.982858743257e-06	-3.980415840488e-06	-3.98101792598e-06	-3.981748704973e-06	-3.980075689469e-06	-3.981869213021e-06
-3.696871772263e-06	-3.698755563164e-06	-3.70091061086e-06	-3.701396508404e-06	-3.703805077748e-06	-3.706632469402e-06	-3.703019729073e-06	-3.700461775225e-06	-3.701960849867e-06	-3.698121417983e-06
-3.38848985848e-06	-3.386944172235e-06	-3.384455112609e-06	-3.384983074284e-06	-3.384749561519e-06	-3.384877345525e-06	-3.384636784176e-06	-3.389293169676e-06	-3.388486902622e-06	-3.389153107491e-06
-3.087197910645e-06	-3.086331616942e-06	-3.093146233368e-06	-3.086086962867e-06	-3.087036475335e-06	-3.086376864303e-06	-3.085290472882e-06	-3.082327793891e-06	-3.08183962261e-06	-3.083398269155e-06
-2.77609206023e-06	-2.777041572699e-06	-2.77574622487e-06	-2.777509507723e-06	-2.780142722258e-06	-2.779686383292e-06	-2.781219336612e-06	-2.781903049254e-06	-2.7805647278e-06	-2.779542683129e-06
-2.476890813341e-06	-2.475690052961e-06	-2.475887640685e-06	-2.474133225405e-06	-2.473299218764e-06	-2.473839913364e-06	-2.472633468642e-06	-2.473574795658e-06	-2.476758936609e-06	-2.475962219251e-06
-2.180394858442e-06	-2.187590325775e-06	-2.183422111557e-06	-2.186161282225e-06	-2.185889798056e-06	-2.186221990996e-06	-2.184920049331e-06	-2.182806383644e-06	-2.181125182688e-06	-2.18126206164e-06
-1.893797275443e-06	-1.890085059131e-06	-1.893852413559e-06	-1.892211344057e-06	-1.893290914268e-06	-1.896145818137e-06	-1.895727677947e-06	-1.895635591609e-06	-1.895309878819e-06	-1.893684384413e-06
-1.631299141991e-06	-1.628298377909e-06	-1.626441417102e-06	-1.627863866815e-06	-1.623088110136e-06	-1.624897322472e-06	-1.625720869924e-06	-1.62787341651e-06	-1.629876351217e-06	-1.626953803679e-06
-1.375787746838e-06	-1.376718728352e-06	-1.377973035233e-06	-1.380329422318e-06	-1.377166199745e-06	-1.38253312798e-06	-1.375629040012e-06	-1.374972043777e-06	-1.375140982418e-06	-1.373333248011e-06
-1.130815235229e-06	-1.130717237174e-06	-1.130961209128e-06	-1.130995428866e-06	-1.133349769589e-06	-1.131740532401e-06	-1.132577949647e-06	-1.138183279181e-06	-1.135478669312e-06	-1.1340752053e-06
-9.235718039236e-07	-9.210243661073e-07	-9.228123190042e-07	-9.203059789797e-07	-9.1707829597e-07	-9.215094678439e-07	-9.186954912366e-07	-9.174859201266e-07	-9.193133223562e-07	-9.18368357361e-07
-7.107460646694e-07	-7.142099320845e-07	-7.138387445593e-07	-7.133462531783e-07	-7.198536877695e-07	-7.176794838415e-07	-7.177117709034e-07	-7.143918310248e-07	-7.119002702893e-07	-7.114138043107e-07
-5.426085749605e-07	-5.406771492744e-07	-5.429207021734e-07	-5.420768616204e-07	-5.393662263486e-07	-5.449816740111e-07	-5.419705644272e-07	-5.441160055852e-07	-5.485309202413e-07	-5.44421595805e-07
-3.855701606881e-07	-3.904363268248e-07	-3.864531947784e-07	-3.84641623441e-07	-3.863078745781e-07	-3.83607925869e-07	-3.839163014163e-07	-3.840200406557e-07	-3.824569887456e-07	-3.833889650195e-07
-2.48862306762e-07	-2.466098294462e-07	-2.489973667252e-07	-2.512910555197e-07	-2.487449251021e-07	-2.55966227769e-07	-2.535699934469e-07	-2.48865148933e-07	-2.516597419344e-07	-2.453054150919e-07
-1.292466578207e-07	-1.269685157013e-07	-1.267842861807e-07	-1.240374132294e-07	-1.262762623355e-07	-1.280284465111e-07	-1.257637194385e-07	-1.319873064176e-07	-1.307227250891e-07	-1.295197336049e-07
-2.938331000735e-08	-2.524122777459e-08	-2.732629234004e-08	-2.891836992092e-08	-2.530670428769e-08	-2.767037621254e-08	-2.694132916758e-08	-1.986023079326e-08	-2.346568450662e-08	-2.19385789535e-08
7.017189318503e-08	6.802849128462e-08	6.65423698365e-08	7.035070836992e-08	6.510145311722e-08	6.229280558046e-08	6.63225918629e-08	6.263889673619e-08	6.557970522181e-08	6.763318793901e-08
