########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	2999
file                           	TBC-05_D_BOA_-02.0A_180926_145212.dat
date                           	26/09/2018
hour                           	14:52:12
operator                       	Lidia Toledo
software_version               	v3.4
bench                          	2
temperature(C)                 	23.32
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	-1.999650e+00
main_coil_current_std(A)       	+9.880869e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_10-09-2018_r=13mm_TBC
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	247697
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -3.871063e-06   	  +7.133515e-08   	  -4.119948e-04   	  +5.244962e-08   	  +4.120130e-04   	  +5.245159e-08   	  +9.395625e-03   	  +1.731346e-04   	  +9.395899e-03   	  +1.731499e-04   	  +1.000000e+00   	  +1.800386e-04   
2   	  -6.651116e-05   	  +4.824856e-06   	  -3.742767e-05   	  +3.177147e-06   	  +7.631884e-05   	  +4.484216e-06   	  +5.291170e-01   	  +2.386145e-02   	  +1.937242e-03   	  +1.405318e-04   	  +1.090139e-03   	  +9.253954e-05   
3   	  -6.585431e-03   	  +9.503208e-04   	  -5.114373e-01   	  +5.764595e-04   	  +5.114797e-01   	  +5.765416e-04   	  +4.291870e-03   	  +6.192954e-04   	  +2.301737e-03   	  +3.321553e-04   	  +1.787570e-01   	  +2.027646e-04   
4   	  +5.759812e-02   	  +5.688865e-02   	  +3.351470e-02   	  +3.643491e-02   	  +6.663916e-02   	  +5.247389e-02   	  +2.609533e-01   	  +1.596199e-01   	  -2.415788e-04   	  +2.386039e-04   	  -1.405679e-04   	  +1.528163e-04   
5   	  +1.782765e+00   	  +3.639622e+00   	  +6.840454e+01   	  +2.664380e+00   	  +6.842777e+01   	  +2.665163e+00   	  +5.211237e-03   	  +1.063617e-02   	  -8.972987e-05   	  +1.831848e-04   	  -3.442851e-03   	  +1.341009e-04   
6   	  +2.003818e+01   	  +4.628639e+02   	  -2.911962e+02   	  +3.116836e+02   	  +2.918848e+02   	  +3.125676e+02   	  -1.145084e-02   	  +2.639554e-01   	  -1.210399e-05   	  +2.795554e-04   	  +1.758762e-04   	  +1.882471e-04   
7   	  -2.597847e+04   	  +7.300324e+03   	  -3.101293e+05   	  +1.589052e+04   	  +3.112155e+05   	  +1.584678e+04   	  +1.193878e-02   	  +3.394426e-03   	  +1.882808e-04   	  +5.291002e-05   	  +2.247700e-03   	  +1.151689e-04   
8   	  -2.348450e+06   	  +3.358200e+06   	  +1.571429e+06   	  +7.595464e+05   	  +2.825705e+06   	  +2.822791e+06   	  -1.226359e-01   	  +8.720670e-02   	  +2.042564e-04   	  +2.920677e-04   	  -1.366720e-04   	  +6.605889e-05   
9   	  +3.358724e+07   	  +2.175002e+08   	  +1.323269e+08   	  +2.601862e+08   	  +1.365229e+08   	  +2.578036e+08   	  +2.761899e-02   	  +1.793098e-01   	  -3.505288e-05   	  +2.269959e-04   	  -1.380993e-04   	  +2.715454e-04   
10  	  +1.227104e+10   	  +1.095991e+10   	  -8.287327e+09   	  +2.760487e+10   	  +1.480737e+10   	  +1.792176e+10   	  -9.768017e-02   	  +1.599513e-01   	  -1.536834e-04   	  +1.372608e-04   	  +1.037877e-04   	  +3.457205e-04   
11  	  +6.496721e+11   	  +4.132199e+12   	  -4.731871e+11   	  +1.218366e+12   	  +8.037287e+11   	  +3.416302e+12   	  -8.557249e-02   	  +2.968629e-01   	  -9.763515e-05   	  +6.210148e-04   	  +7.110879e-05   	  +1.831043e-04   
12  	  -1.244885e+14   	  +9.435706e+13   	  -1.034078e+14   	  +1.143996e+14   	  +1.618349e+14   	  +1.030122e+14   	  +7.313641e-02   	  +5.492861e-02   	  +2.245110e-04   	  +1.701674e-04   	  +1.864901e-04   	  +2.063130e-04   
13  	  -3.206630e+15   	  +3.158037e+16   	  +2.737391e+15   	  +9.951444e+15   	  +4.216134e+15   	  +2.487267e+16   	  -6.647521e-02   	  +3.987681e-01   	  +6.939175e-05   	  +6.834400e-04   	  -5.923603e-05   	  +2.153621e-04   
14  	  +5.512093e+17   	  +7.288640e+17   	  +1.337553e+17   	  +1.150924e+18   	  +5.672056e+17   	  +7.585259e+17   	  +9.519569e-02   	  +1.425025e-01   	  -1.431488e-04   	  +1.892827e-04   	  -3.474155e-05   	  +2.988898e-04   
15  	  -3.769561e+18   	  +1.541831e+20   	  -2.090243e+19   	  +4.622137e+19   	  +2.123961e+19   	  +5.308403e+19   	  +1.189487e-02   	  +4.769608e-01   	  +1.175132e-05   	  +4.804878e-04   	  +6.514098e-05   	  +1.440418e-04   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
3.196930720151e-06	3.193639713572e-06	3.191953055648e-06	3.193889824615e-06	3.188487198713e-06	3.189503786416e-06	3.191796167812e-06	3.185921968907e-06	3.188499931639e-06	3.192159965693e-06
3.174590801791e-06	3.177214921379e-06	3.179194891345e-06	3.177697863066e-06	3.177188318659e-06	3.181425427101e-06	3.177586904712e-06	3.175984375048e-06	3.176018708473e-06	3.172986907884e-06
3.135787437714e-06	3.132123310934e-06	3.131952780677e-06	3.136023678962e-06	3.132818847007e-06	3.133464360872e-06	3.135481165373e-06	3.13320379064e-06	3.135950692013e-06	3.127747277176e-06
3.078258941969e-06	3.078177769567e-06	3.076997927565e-06	3.076519988099e-06	3.076760776821e-06	3.078458348682e-06	3.075851282119e-06	3.074959749938e-06	3.074534333791e-06	3.079633415837e-06
3.005059170391e-06	3.004441850862e-06	3.007983195857e-06	3.009306283275e-06	3.002358425874e-06	3.004531663464e-06	3.008390649484e-06	3.003505526067e-06	2.99354701383e-06	2.999783419e-06
2.912870513683e-06	2.911873480116e-06	2.911793217208e-06	2.909595878009e-06	2.917584652096e-06	2.916849553003e-06	2.91443734568e-06	2.913415755756e-06	2.971131152663e-06	2.910302328019e-06
2.811857712004e-06	2.809187208186e-06	2.807498276525e-06	2.808767476381e-06	2.807058535836e-06	2.805356871249e-06	2.806313887049e-06	2.802445806083e-06	2.805743633871e-06	2.813155106196e-06
2.688278527785e-06	2.69407109954e-06	2.694152499316e-06	2.693877377169e-06	2.69357678917e-06	2.695881221371e-06	2.695591774682e-06	2.693835313039e-06	2.647244173204e-06	2.67514906227e-06
2.56156499745e-06	2.557579136919e-06	2.554995717219e-06	2.56136581811e-06	2.558733967817e-06	2.559958375059e-06	2.559774884503e-06	2.557445213824e-06	2.5800657113e-06	2.577700797701e-06
2.422636271149e-06	2.422317493256e-06	2.42432088271e-06	2.415262997602e-06	2.413221636743e-06	2.421111958029e-06	2.424362264719e-06	2.42134774453e-06	2.397207026661e-06	2.412380808892e-06
2.284639549543e-06	2.283792809976e-06	2.279359478052e-06	2.289610392836e-06	2.290999418619e-06	2.286018570885e-06	2.281666411363e-06	2.278797182953e-06	2.273366817462e-06	2.265659986733e-06
2.128356300091e-06	2.127198740709e-06	2.127927473339e-06	2.131146175088e-06	2.129081167368e-06	2.132324880222e-06	2.131098426617e-06	2.132858071491e-06	2.15044133256e-06	2.151980652343e-06
1.976355406441e-06	1.981772584259e-06	1.976858584385e-06	1.970642188098e-06	1.9658268684e-06	1.961471070899e-06	1.97419694814e-06	1.967869820874e-06	1.945359827005e-06	1.958362645382e-06
1.821873638619e-06	1.816437247726e-06	1.821547357395e-06	1.828294671213e-06	1.831195390878e-06	1.842179926825e-06	1.827336404858e-06	1.828517156355e-06	1.848517854341e-06	1.831032022892e-06
1.666043885962e-06	1.666628691055e-06	1.662142949499e-06	1.654867674006e-06	1.653970684856e-06	1.658790779402e-06	1.662093268351e-06	1.661711962697e-06	1.656637209635e-06	1.672461849012e-06
1.517547730145e-06	1.515945200481e-06	1.513643042017e-06	1.519538955108e-06	1.519401735095e-06	1.512925905445e-06	1.514094265076e-06	1.504556280452e-06	1.492893829891e-06	1.484866288592e-06
1.359882162433e-06	1.358822942166e-06	1.357678797831e-06	1.368360472043e-06	1.363441583635e-06	1.368249058942e-06	1.365945536236e-06	1.371266421302e-06	1.383519133924e-06	1.352457729809e-06
1.225395180882e-06	1.225150981554e-06	1.216644704982e-06	1.211388962474e-06	1.210924665429e-06	1.210250729855e-06	1.224479660777e-06	1.208792582474e-06	1.216959049088e-06	1.233096895703e-06
1.086748852686e-06	1.09427969619e-06	1.095873130907e-06	1.103391127799e-06	1.107683146984e-06	1.09961013095e-06	1.089593297365e-06	1.097604467759e-06	1.102936721509e-06	1.07662526716e-06
9.648374543758e-07	9.602806585463e-07	9.599830264051e-07	9.613094107408e-07	9.613943348086e-07	9.663717719377e-07	9.685868462839e-07	9.646546459408e-07	9.897587460728e-07	9.972471843867e-07
8.414156127401e-07	8.439594125775e-07	8.438470331384e-07	8.380271196984e-07	8.303525760311e-07	8.181918360606e-07	8.310377666021e-07	8.244729770013e-07	7.958271908137e-07	8.042949275477e-07
7.311772378671e-07	7.255404170792e-07	7.292503028111e-07	7.351435442615e-07	7.389761549348e-07	7.531195933552e-07	7.360550853264e-07	7.391958547487e-07	7.496333864765e-07	7.452990757884e-07
6.21650372068e-07	6.250408546293e-07	6.172616053846e-07	6.073883014324e-07	6.116757731434e-07	6.141925155134e-07	6.247464625631e-07	6.221735020517e-07	6.115794803918e-07	6.270198014136e-07
5.409619916463e-07	5.392019488681e-07	5.421264859251e-07	5.497411166289e-07	5.464140144795e-07	5.436955916593e-07	5.344999181034e-07	5.303446073412e-07	5.288183047014e-07	6.217941859177e-07
4.525243753051e-07	4.572996203933e-07	4.53194701322e-07	4.633566845769e-07	4.643018201023e-07	4.664414348099e-07	4.603040792972e-07	4.61783628225e-07	4.755789291266e-07	4.125941472921e-07
3.880160193148e-07	3.813637192707e-07	3.76503322741e-07	3.69873106365e-07	3.577713130198e-07	3.662877361421e-07	3.777727215493e-07	3.811670126197e-07	3.571853710582e-07	2.647162773428e-07
3.263999133196e-07	3.194685405106e-07	3.304268432203e-07	3.318490087167e-07	3.403474977404e-07	3.33071170644e-07	3.216931361294e-07	3.189073254362e-07	3.346850405705e-07	3.096370164712e-07
2.491652537628e-07	2.58379486695e-07	2.607448834624e-07	2.501593314719e-07	2.532716507631e-07	2.601410642455e-07	2.680079660422e-07	2.672524601621e-07	2.710725652832e-07	3.11192962954e-07
2.165626256101e-07	2.116321553558e-07	2.10038066939e-07	2.0871777906e-07	2.074695544252e-07	1.938499281096e-07	1.971154830471e-07	2.037365902652e-07	1.863877940878e-07	2.229620150729e-07
1.775536304649e-07	1.67962397768e-07	1.681439130152e-07	1.842008998665e-07	1.83799713227e-07	1.892273218118e-07	1.78622727276e-07	1.678455276988e-07	1.833128351336e-07	2.28448087114e-07
1.077687343809e-07	1.218833176608e-07	1.213317943893e-07	9.946894863333e-08	1.037571237816e-07	1.094714718874e-07	1.194907071067e-07	1.190981606669e-07	1.068586854558e-07	8.475107193817e-08
1.045420674473e-07	9.225875174934e-08	9.186143046236e-08	1.082303739963e-07	1.037653589719e-07	1.013018220419e-07	9.376008591744e-08	8.002489693126e-08	9.348774909768e-08	8.639517545816e-08
