########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	3014
file                           	TBC-06_D_BOA_006.0A_180927_093736.dat
date                           	27/09/2018
hour                           	09:37:36
operator                       	Lidia Toledo
software_version               	v3.5
bench                          	2
temperature(C)                 	23.27
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+5.999850e+00
main_coil_current_std(A)       	+7.451598e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_27-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	247697
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  +1.179268e-03   	  +6.987243e-08   	  -1.822405e-06   	  +4.652634e-08   	  +1.179270e-03   	  +6.987239e-08   	  -1.545368e-03   	  +3.945357e-05   	  +1.000000e+00   	  +8.379309e-05   	  -1.545369e-03   	  +3.945367e-05   
2   	  -2.413883e-05   	  +1.589852e-06   	  +2.977200e-04   	  +2.001126e-06   	  +2.986970e-04   	  +1.998715e-06   	  -7.449472e-01   	  +2.666386e-03   	  -2.456321e-04   	  +1.617803e-05   	  +3.029539e-03   	  +2.036385e-05   
3   	  -1.490633e+00   	  +2.201185e-04   	  +1.981052e-02   	  +1.321099e-04   	  +1.490765e+00   	  +2.201060e-04   	  -4.429740e-03   	  +2.954425e-05   	  -1.820206e-01   	  +2.896154e-05   	  +2.419055e-03   	  +1.613252e-05   
4   	  +6.590333e-02   	  +7.466209e-03   	  +1.080755e-01   	  +1.259763e-02   	  +1.265842e-01   	  +1.143650e-02   	  +2.558023e-01   	  +1.806325e-02   	  +9.656907e-05   	  +1.094035e-05   	  +1.583644e-04   	  +1.845950e-05   
5   	  -2.083232e+02   	  +1.115232e+00   	  +2.366219e+00   	  +1.197414e+00   	  +2.083366e+02   	  +1.115243e+00   	  -2.271584e-03   	  +1.149490e-03   	  -3.663111e-03   	  +1.961120e-05   	  +4.160723e-05   	  +2.105507e-05   
6   	  -1.499708e+02   	  +5.396076e+01   	  +5.036985e+02   	  +8.946736e+01   	  +5.255506e+02   	  +8.711897e+01   	  -2.135691e-01   	  +1.829049e-02   	  -3.164449e-05   	  +1.138601e-05   	  +1.062830e-04   	  +1.887810e-05   
7   	  -8.331608e+05   	  +7.856129e+03   	  +2.965028e+04   	  +4.168547e+03   	  +8.336882e+05   	  +7.852559e+03   	  -5.081813e-03   	  +7.154558e-04   	  -2.109617e-03   	  +1.989262e-05   	  +7.507625e-05   	  +1.055503e-05   
8   	  +3.479314e+04   	  +2.881515e+05   	  +1.200262e+06   	  +3.740649e+05   	  +1.200766e+06   	  +3.740011e+05   	  +1.927271e-01   	  +3.000526e-02   	  +1.057173e-06   	  +8.755418e-06   	  +3.646957e-05   	  +1.136588e-05   
9   	  +5.935726e+07   	  +2.037003e+07   	  -1.994936e+07   	  +3.743260e+07   	  +6.261997e+07   	  +2.269440e+07   	  -3.602547e-02   	  +6.400298e-02   	  +2.164258e-05   	  +7.427267e-06   	  -7.274145e-06   	  +1.364857e-05   
10  	  -1.328481e+09   	  +1.728404e+09   	  -8.467160e+09   	  +1.800252e+09   	  +8.570745e+09   	  +1.798559e+09   	  +1.415167e-01   	  +2.018687e-02   	  -5.812626e-06   	  +7.562472e-06   	  -3.704701e-05   	  +7.876836e-06   
11  	  -1.830629e+12   	  +1.626177e+11   	  +2.402917e+11   	  +1.677678e+11   	  +1.846332e+12   	  +1.627062e+11   	  -1.186506e-02   	  +8.256264e-03   	  -9.611696e-05   	  +8.538224e-06   	  +1.261641e-05   	  +8.808628e-06   
12  	  +5.310462e+12   	  +1.516540e+13   	  +5.767121e+13   	  +1.635452e+13   	  +5.791520e+13   	  +1.634489e+13   	  +1.232478e-01   	  +2.183622e-02   	  +3.345743e-06   	  +9.555094e-06   	  +3.633626e-05   	  +1.030431e-05   
13  	  +5.196458e+15   	  +1.310184e+15   	  -7.585639e+14   	  +1.693073e+15   	  +5.251533e+15   	  +1.319308e+15   	  -1.115025e-02   	  +2.469569e-02   	  +3.928898e-05   	  +9.905912e-06   	  -5.735084e-06   	  +1.280082e-05   
14  	  -2.573072e+17   	  +1.469371e+17   	  -3.093882e+17   	  +1.590737e+17   	  +4.024028e+17   	  +1.542269e+17   	  +6.264598e-02   	  +2.698371e-02   	  -2.334505e-05   	  +1.333138e-05   	  -2.807051e-05   	  +1.443251e-05   
15  	  -1.243189e+19   	  +1.382271e+19   	  +2.222239e+19   	  +1.632251e+19   	  +2.546344e+19   	  +1.576268e+19   	  -7.071610e-02   	  +3.785260e-02   	  -1.353555e-05   	  +1.504936e-05   	  +2.419432e-05   	  +1.777099e-05   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
4.234974682049e-08	4.685245258429e-08	4.250135177131e-08	4.565704614379e-08	4.355911187304e-08	4.206877690649e-08	4.278750154185e-08	3.809770987573e-08	3.490636402148e-08	3.91711409975e-08
-8.302115617198e-08	-8.043742383279e-08	-7.603622975694e-08	-8.006612972622e-08	-7.87513485534e-08	-7.62795551168e-08	-7.923057410153e-08	-7.124952361437e-08	-7.521850164949e-08	-7.673323665358e-08
-2.045068612233e-07	-2.037824344825e-07	-2.091591824183e-07	-2.057711441239e-07	-2.119412840784e-07	-2.130642542397e-07	-2.07910417771e-07	-2.146858975038e-07	-2.120292350583e-07	-2.092219233418e-07
-3.516850597407e-07	-3.494471627619e-07	-3.447887024777e-07	-3.442379465923e-07	-3.445661604928e-07	-3.446895107118e-07	-3.481088128865e-07	-3.479410679574e-07	-3.503533605453e-07	-3.516628339639e-07
-5.192994763092e-07	-5.182298536965e-07	-5.20854939623e-07	-5.206577498029e-07	-5.220077810009e-07	-5.18365766311e-07	-5.152750759407e-07	-5.160491127754e-07	-5.198068038226e-07	-5.13038344252e-07
-7.000950859037e-07	-7.00908287854e-07	-6.965176453377e-07	-6.995688863753e-07	-7.039425895528e-07	-7.03229204646e-07	-7.072291623444e-07	-7.040686682558e-07	-7.062880058584e-07	-7.059167614898e-07
-9.291409241996e-07	-9.279452797273e-07	-9.266068445868e-07	-9.247671641788e-07	-9.241990710507e-07	-9.238764278052e-07	-9.247056027561e-07	-9.285170108342e-07	-9.273094860873e-07	-9.27502696868e-07
-1.174821591121e-06	-1.17685215173e-06	-1.175012812382e-06	-1.1774129689e-06	-1.179214905278e-06	-1.178069737762e-06	-1.174605358756e-06	-1.172344582301e-06	-1.176555770144e-06	-1.173935743282e-06
-1.451483853998e-06	-1.448003217774e-06	-1.451945422559e-06	-1.449169303669e-06	-1.448273451388e-06	-1.453630147807e-06	-1.454937546441e-06	-1.458463771087e-06	-1.456440827496e-06	-1.452301603422e-06
-1.764383114278e-06	-1.759614292496e-06	-1.754733148118e-06	-1.758796770446e-06	-1.758126700224e-06	-1.756019514687e-06	-1.755696303007e-06	-1.756391043273e-06	-1.75994921392e-06	-1.760072791512e-06
-2.0927695914e-06	-2.094209094139e-06	-2.095222043863e-06	-2.093369630529e-06	-2.096670641549e-06	-2.095529453072e-06	-2.094335286529e-06	-2.093818466165e-06	-2.091060878229e-06	-2.089788722515e-06
-2.466766318321e-06	-2.461294798195e-06	-2.461733856762e-06	-2.462470092723e-06	-2.461823214617e-06	-2.464419594617e-06	-2.468582124493e-06	-2.469334958732e-06	-2.467459580657e-06	-2.472791493346e-06
-2.854480271708e-06	-2.853722889995e-06	-2.85120972876e-06	-2.852284524124e-06	-2.853073056031e-06	-2.851370254575e-06	-2.847494442904e-06	-2.847060159183e-06	-2.853116711776e-06	-2.847099949577e-06
-3.257589469285e-06	-3.257773869336e-06	-3.257152457081e-06	-3.26152735397e-06	-3.260546691308e-06	-3.257491243858e-06	-3.264364522693e-06	-3.261005304012e-06	-3.25809082824e-06	-3.262132622694e-06
-3.684308921947e-06	-3.684479906951e-06	-3.680813051687e-06	-3.677893118947e-06	-3.683739805638e-06	-3.684979446916e-06	-3.681406042233e-06	-3.68453675037e-06	-3.687921662276e-06	-3.683237764562e-06
-4.111103407922e-06	-4.109518158657e-06	-4.107743734494e-06	-4.111935595574e-06	-4.105655534659e-06	-4.104691470275e-06	-4.107349923288e-06	-4.10913480664e-06	-4.104092568014e-06	-4.108040229767e-06
-4.562962658383e-06	-4.562028152577e-06	-4.564463779388e-06	-4.561617970467e-06	-4.569581051328e-06	-4.570517376123e-06	-4.567304131342e-06	-4.567863925331e-06	-4.568675194605e-06	-4.56568568552e-06
-5.002909801988e-06	-4.997400537832e-06	-4.99303041579e-06	-4.994888058718e-06	-4.994270057068e-06	-4.991853984393e-06	-4.99722909808e-06	-4.997605628887e-06	-4.997950782126e-06	-5.000116289011e-06
-5.444822363643e-06	-5.448570846056e-06	-5.453157427837e-06	-5.448175670608e-06	-5.449877335195e-06	-5.450201570056e-06	-5.448510819406e-06	-5.446337127069e-06	-5.448045612866e-06	-5.443295322038e-06
-5.89058481637e-06	-5.891158707527e-06	-5.889027761441e-06	-5.885437531106e-06	-5.893578418181e-06	-5.89208684687e-06	-5.89462752032e-06	-5.894138666918e-06	-5.89371256865e-06	-5.896565198782e-06
-6.292751095316e-06	-6.294179001998e-06	-6.297839263425e-06	-6.290443707258e-06	-6.289962129813e-06	-6.295127604972e-06	-6.29168607702e-06	-6.291822955973e-06	-6.302963356575e-06	-6.294639206317e-06
-6.697744538542e-06	-6.698075594613e-06	-6.697347544105e-06	-6.698144261463e-06	-6.700091944367e-06	-6.694790045003e-06	-6.698972356389e-06	-6.696705895592e-06	-6.696754098812e-06	-6.693812338199e-06
-7.067694241414e-06	-7.063913471939e-06	-7.068288596201e-06	-7.063385510264e-06	-7.066041689541e-06	-7.069150797179e-06	-7.068705144775e-06	-7.07130311639e-06	-7.076980182319e-06	-7.068890681694e-06
-7.43379632695e-06	-7.432111033268e-06	-7.427837317664e-06	-7.430778623529e-06	-7.429074685206e-06	-7.423445367749e-06	-7.426207048411e-06	-7.431602625729e-06	-7.427375294355e-06	-7.427840500895e-06
-7.7331887951e-06	-7.73148258304e-06	-7.73381543695e-06	-7.735809049336e-06	-7.731678124401e-06	-7.736613042653e-06	-7.731826372037e-06	-7.730560355412e-06	-7.72837211116e-06	-7.731470759609e-06
-8.009473276616e-06	-8.005908966879e-06	-8.000212801562e-06	-8.003124094103e-06	-8.011003956199e-06	-8.004882147361e-06	-8.007715223357e-06	-8.01240275905e-06	-8.009415068955e-06	-8.010322744667e-06
-8.230688763433e-06	-8.226648787968e-06	-8.230727871705e-06	-8.22787751531e-06	-8.22277070256e-06	-8.225338206103e-06	-8.222803444369e-06	-8.228847036662e-06	-8.225082638091e-06	-8.225301826315e-06
-8.383430213144e-06	-8.384200555156e-06	-8.385084584006e-06	-8.384649845539e-06	-8.392234121857e-06	-8.386096851609e-06	-8.38516461954e-06	-8.389564754907e-06	-8.391734809265e-06	-8.387158231926e-06
-8.536949280824e-06	-8.532515494153e-06	-8.532898391422e-06	-8.532029823982e-06	-8.526680176146e-06	-8.528978469258e-06	-8.532684660167e-06	-8.532644642401e-06	-8.537455869373e-06	-8.53583424032e-06
